htitem_id,Author,Title,Year (json)
mdp.39015030069747,Starbäck Georg, Engelbrekt Engelbrektsson,1868
uc1.$b70889,Starbäck Georg, Nils Bosson Sture,1871
hvd.hnteh7,Sätherberg Herman, Jägarens hvila,1838
mdp.39015030069705,Sätherberg Herman, Mäster Olofs bröllop,1871
uc1.$b137030,Sätherberg Herman, Naima,1870
wu.89007625817,Tankebyggarorden, Våra försök I,1753
wu.89007625809,Tankebyggarorden, Våra försök II,1754
wu.89007625791,Tankebyggarorden, Våra försök III,1756
nyp.33433075849020,Wetterbergh Carl Anton, Penningar och Arbete,1847
nyp.33433075849046,Wetterbergh Carl Anton, Får gå! Genremålning,1844
,,,
,Ljungstedt Aurora, Psykologiska gåtor I,1868
,Ljungstedt Aurora, Psykologiska gåtor II,1868
,Ljungstedt Aurora, Psykologiska gåtor III,1868
