Filename,HTID,Author,Title,Year
klopstock_oden_1771.TEI-P5.json,,Friedrich Gottlieb Klopstock,Oden,1771
kortum_jobsiade01_1799.TEI-P5.json,,Carl Arnold Kortum,"Die Jobsiade, Bd. 1",1799
kortum_jobsiade02_1799.TEI-P5.json,,Carl Arnold Kortum,"Die Jobsiade, Bd. 2",1799
kortum_jobsiade03_1799.TEI-P5.json,,Carl Arnold Kortum,"Die Jobsiade, Bd. 3",1799
kraft_medizinmann_1896.TEI-P5.json,,Robert Kraft,Der Medizinmann,1896
laokoon.json,,Gotthold Ephraim Lessing,Laokoon Oder Über Die Grenzen Der Malerei Und Poesie ,1767
laroche_geschichte01_1771.TEI-P5.json,,Sophie Von La Roche,"Geschichte Des Fräuleins Von Sternheim, Bd. 1",1771
laroche_geschichte02_1771.TEI-P5.json,,Sophie Von La Roche,"Geschichte Des Fräuleins Von Sternheim, Bd. 2",1771
lasswitz_planeten01_1897.TEI-P5.json,,Kurd Laåäwitz,"Auf Zwei Planeten, Bd. 1",1897
lasswitz_planeten02_1897.TEI-P5.json,,Kurd Laåäwitz,"Auf Zwei Planeten, Bd. 2",1897
lasswitz_seife_1890.TEI-P5.json,,Kurd Laåäwitz,Seifenblasen,1890
laube_bernsteinhexe_1846.TEI-P5.json,,Heinrich Laube,Der Bernsteinhexe,1846
laube_europa0101_1833.TEI-P5.json,,Heinrich Laube,"Das Junge Europa, Bd. 1, 1",1833
laube_europa0102_1833.TEI-P5.json,,Heinrich Laube,"Das Junge Europa, Bd. 1, 2",1833
laube_europa0201_1837.TEI-P5.json,,Heinrich Laube,"Das Junge Europa, Bd. 2, 1",1837
laube_europa03_1837.TEI-P5.json,,Heinrich Laube,"Das Junge Europa, Bd. 3",1837
lenz_soldaten_1776.TEI-P5.json,,Jakob Michael Reinhold Lenz,Die Soldaten,1776
lessing_dramaturgie01_1767.TEI-P5.json,,Gotthold Ephraim Lessing,"Hamburgische Dramaturgie, Bd. 1",1769
lessing_dramaturgie02_1767.TEI-P5.json,,Gotthold Ephraim Lessing,"Hamburgische Dramaturgie, Bd. 2",1769
lessing_emilia_1772.TEI-P5.json,,Gotthold Ephraim Lessing,Emilia Galotti,1772
lessing_fabeln_1759.TEI-P5.json,,Gotthold Ephraim Lessing,Fabeln,1759
lessing_menschengeschlecht_1780.TEI-P5.json,,Gotthold Ephraim Lessing,Die Erziehung Des Menschengeschlechts,1780
lessing_minna_1767.TEI-P5.json,,Gotthold Ephraim Lessing,Minna Von Barnhelm,1767
lessing_nathan_1779.TEI-P5.json,,Gotthold Ephraim Lessing,Nathan Der Weise,1779
lewald_adele_1864.TEI-P5.json,,Fanny Lewald,Adele,1854
lewald_jenny01_1843.TEI-P5.json,,Fanny Lewald,"Jenny, Bd. 1 ",1843
lewald_jenny02_1843.TEI-P5.json,,Fanny Lewald,"Jenny, Bd. 2",1843
may_kurdistan_1892.TEI-P5.json,,Karl May,Durchs Wilde Kurdistan,1892
miss_sara_sampson.json,,Gotthold Ephraim Lessing,Miss Sarah Sampson,1755
moerike_mozart_1856.TEI-P5.json,,Eduard Märike,Mozart Auf Der Reise Nach Prag,1856
moerike_nolten01_1832.TEI-P5.json,,Eduard Märike,"Maler Noten, Bd. 1 ",1832
moerike_nolten02_1832.TEI-P5.json,,Eduard Märike,"Maler Noten, Bd. 2",1832
moritz_reiser01_1785.TEI-P5.json,,Karl Phillip Moritz,"Anton Reiser, Bd. 1",1785
moritz_reiser02_1786.TEI-P5.json,,Karl Phillip Moritz,"Anton Reiser, Bd. 2",1786
moritz_reiser03_1786.TEI-P5.json,,Karl Phillip Moritz,"Anton Reiser, Bd. 3",1786
moritz_reiser04_1790.TEI-P5.json,,Karl Phillip Moritz,"Anton Reiser, Bd. 4",1790
novalis_ofterdingen_1802.TEI-P5.json,, Novalis,Heinrich Von Ofterdingen,1802
paul_flegeljahre01_1804.TEI-P5.json,,Jean Paul,"Flegeljahre, Bd. 1",1804
paul_flegeljahre02_1804.TEI-P5.json,,Jean Paul,"Flegeljahre, Bd. 2",1804
paul_flegeljahre03_1804.TEI-P5.json,,Jean Paul,"Flegeljahre, Bd. 3",1804
paul_flegeljahre04_1805.TEI-P5.json,,Jean Paul,"Flegeljahre, Bd. 4",1805
paul_hesperus01_1795.TEI-P5.json,,Jean Paul,"Hesperus, Oder 45 Hundsposttage. Erstes Heftlein",1795
paul_hesperus02_1795.TEI-P5.json,,Jean Paul,"Hesperus, Oder 45 Hundsposttage. Zweites Heftlein",1795
paul_hesperus03_1795.TEI-P5.json,,Jean Paul,"Hesperus, Oder 45 Hundsposttage. Drittes Heftlein",1795
paul_katzenberger02_1809.TEI-P5.json,,Jean Paul,"D. Katzenbergers Badereise, Bd. 2",1809
paul_loge01_1793.TEI-P5.json,,Jean Paul,"Die Unsichtbare Loge, Bd. 1",1793
paul_loge02_1793.TEI-P5.json,,Jean Paul,"Die Unsichtbare Loge, Bd. 2",1793
paul_titan01_1800.TEI-P5.json,,Jean Paul,"Titan, Bd. 1",1800
paul_titan02_1801.TEI-P5.json,,Jean Paul,"Titan, Bd. 2",1801
paul_titan03_1802.TEI-P5.json,,Jean Paul,"Titan, Bd. 3",1802
paul_titan04_1803.TEI-P5.json,,Jean Paul,"Titan, Bd. 4",1803
pestalozzi_lienhard01_1781.TEI-P5.json,,Johann Heinrich Pestalozzi,"Lienhard Und Gertrud, Bd. 1",1781
pestalozzi_lienhard03_1785.TEI-P5.json,,Johann Heinrich Pestalozzi,"Lienhard Und Gertrud, Bd. 3",1785
pestalozzi_lienhard04_1787.TEI-P5.json,,Johann Heinrich Pestalozzi,"Lienhard Und Gertrud, Bd. 4",1787
philotas.json,,Gotthold Ephraim Lessing,Philotas,1759
platen_gabel_1826.TEI-P5.json,,August Von Platen-Hallermünde,Die Verhängnisvolle Gabel,1826
platen_gedichte_1828.TEI-P5.json,,August Von Platen-Hallermünde,Gedichte,1828
platen_oedipus_1829.TEI-P5.json,,August Von Platen-Hallermünde,Der Romantische Oedipus,1829
preuschen_yoshiwara_1920.TEI-P5.json,,Hermione Von Preuschen,Yoshiwara. Vom Freudenhaus Des Lebens,1920
raabe_akten_1896.TEI-P5.json,,Wilhelm Raabe,Die Akten Des Vogelsangs,1896
raabe_odfeld_1889.TEI-P5.json,,Wilhelm Raabe,Das Odfeld,1889
raabe_sperlingsgasse_1857.TEI-P5.json,,Wilhelm Raabe,Die Chronik Der Sperlingsgasse,1857
raabe_stopfkuchen_1891.TEI-P5.json,,Wilhelm Raabe,Stopfkuchen. Eine See- Und Mordgeschichte,1891
schiller_domkarlos_1787.TEI-P5.json,,Friedrich Schiller,Dom Karlos,1787
schiller_geisterseher_1789.TEI-P5.json,,Friedrich Schiller,Der Geisterseher,1789
schiller_kabale_1784.TEI-P5.json,,Friedrich Schiller,Kabale Und Liebe,1784
schiller_raeuber_1781.TEI-P5.json,,Friedrich Schiller,Die Räuber,1781
schiller_triumf_1782.TEI-P5.json,,Friedrich Schiller,Der Triumf Der Liebe,1782
storm_aquis_1877.TEI-P5.json,,Theodor Storm,Acquis Submerses,1877
storm_basch_1887.TEI-P5.json,,Theodor Storm,Bätjer Basch,1887
storm_doppelgaenger_1887.TEI-P5.json,,Theodor Storm,Ein Doppelgänger,1887
storm_gedichte_1852.TEI-P5.json,,Theodor Storm,Gedichte,1852
storm_immensee_1852.TEI-P5.json,,Theodor Storm,Immensee,1852
storm_riew_1885.TEI-P5.json,,Theodor Storm,"John Riew', Ein Fest Auf Haderslevhuus",1885
storm_schimmelreiter_1888.TEI-P5.json,,Theodor Storm,Der Schimmelreiter,1888
storm_waldwinkel_1875.TEI-P5.json,,Theodor Storm,"Waldwinkel, Pole Poppenspäler",1875
tieck_lovell01_1795.TEI-P5.json,,Ludwig Tieck,"William Lovell, Bd. 1 ",1795
tieck_lovell02_1796.TEI-P5.json,,Ludwig Tieck,"William Lovell, Bd. 2",1796
tieck_lovell03_1796.TEI-P5.json,,Ludwig Tieck,"William Lovell, Bd. 3",1796
tieck_phantasus01_1812.TEI-P5.json,,Ludwig Tieck,"Phantasus, Bd. 1",1812
tieck_phantasus02_1812.TEI-P5.json,,Ludwig Tieck,"Phantasus, Bd. 2",1812
tieck_phantasus03_1816.TEI-P5.json,,Ludwig Tieck,"Phantasus, Bd. 3",1816
tieck_sternbald01_1798.TEI-P5.json,,Ludwig Tieck,"Franz Sternbalds Wanderungen, Bd. 1",1798
tieck_sternbald02_1798.TEI-P5.json,,Ludwig Tieck,"Franz Sternbalds Wanderungen, Bd. 2",1798
wagner_kindermoerderin_1776.TEI-P5.json,,Heinrich Leopold Wagner,Die Kindermärderinn,1776
waiblinger_phaeton01_1823.TEI-P5.json,,Wilhelm Waiblinger,"Phaethon, Bd. 1",1823
waiblinger_phaeton02_1823.TEI-P5.json,,Wilhelm Waiblinger,"Phaethon, Bd. 2",1823
weisse_lieder_1767.TEI-P5.json,,Christian Felix Weiåäe,Lieder Für Kinder,1767
wezel_belphegor01_1776.TEI-P5.json,,Johann Carl Wezel,"Belphegor, Oder Die Wahrscheinlichste Geschichte Unter Der Sonne, Bd. 1 ",1776
wezel_belphegor02_1776.TEI-P5.json,,Johann Carl Wezel,"Belphegor, Oder Die Wahrscheinlichste Geschichte Unter Der Sonne, Bd. 2",1776
wieland_agathon01_1766.TEI-P5.json,,Christoph Martin Wieland,"Geschichte Des Agathon, Bd. 1",1766
wieland_agathon02_1767.TEI-P5.json,,Christoph Martin Wieland,"Geschichte Des Agathon, Bd. 2",1767
wieland_oberon_1780.TEI-P5.json,,Christoph Martin Wieland,Oberon,1780
