htid,author,title,year
uc1.b4104184,"Thackeray, William Makepeace,","The memoirs of Barry Lyndon, Esq",1844
uc1.b4105495,"Hardy, Thomas,",The return of the native,1878
uc1.b4690121,"Bennett, Arnold,",The Grand Babylon Hotel,1903
uc1.b5300641,"Dickens, Charles,",Hard times,1854
uc2.ark+=13960=t00z74074,"Hogg, James", The Queen's Wake,1819
uc2.ark+=13960=t05x27t8x,"Brooke, Emma", Life the Accuser,1896
uc2.ark+=13960=t07w6qj3h,"Mackenzie, Compton,",Sinister street,1914
uc2.ark+=13960=t08w3b95z,"Askew, Alice and Claude", Two apaches of Paris,1911
uc2.ark+=13960=t0ft8g999,"Kipling, Rudyard,",The second jungle book,1895
uc2.ark+=13960=t0ht2hd6z,"Smollett, T.",The expedition of Humphry Clinker,1771
uc2.ark+=13960=t0ms3k92g,"Frankau, Julia", Baccarat,1904
uc2.ark+=13960=t0xp6w53s,"Dickens, Charles,",The posthumous papers of the Pickwick club,1837
uc2.ark+=13960=t0zp3z764,"Dickens, Charles,",The old curiosity shop,1840
uc2.ark+=13960=t10p12n34,Max Beerbohm,Zuleika Dobson,1911
uc2.ark+=13960=t13n2209g,"Beadle, Charles", The white gambit,1900
uc2.ark+=13960=t13n22s4c,"Vivanti, Annie", The Outrage,1918
uc2.ark+=13960=t16m34t6k,"Bevan, Tom", The Thane of the Dean,1899
uc2.ark+=13960=t1bk1dr7m,"Browning, Robert,",Christmas Eve,1850
uc2.ark+=13960=t1hh6fb4z,"Hogg, James", Tales and Sketches of the Ettrick Shepherd,1837
uc2.ark+=13960=t1hh6mf3w,"Manning, Anne", The provocations of Madame Palisay,1863
uc2.ark+=13960=t1mg7hd35,"Carswell, Catherine", The Camomile,1922
uc2.ark+=13960=t1qf91q47,"Lamb, Lady Caroline", Graham Hamilton,1822
uc2.ark+=13960=t1td9p949,"Reeve, Clara", The Old English Baron,1778
uc2.ark+=13960=t1wd3vr8g,"Scott, Walter,",St Ronan's well,1824
uc2.ark+=13960=t1xd0tc6b,"Cullum, Ridgwell", The Golden Woman,1913
uc2.ark+=13960=t24b2zg71,"BrontÌÎ_‰Û¡ÌÝ_, Anne,",The tenant of Wildfell Hall,1848
uc2.ark+=13960=t25b02j3s,"Buchan, John,",Greenmantle,1916
uc2.ark+=13960=t2c829d5s,"Morier, James Justinian", Ayesha the Maid of Kars,1834
uc2.ark+=13960=t2d798400,"Doyle, Arthur Conan,",Micah Clarke,1889
uc2.ark+=13960=t2m61hb1j,"Caine, Hall,",The manxman,1894
uc2.ark+=13960=t2t43mj5b,Somerset Maugham,The Magician,1908
uc2.ark+=13960=t2x34p29s,"Ashton, Helen", A Person of Quality,1913
uc2.ark+=13960=t33205c07,Robert Smith Surtees, Jorrocks' Jaunts and Jollities,1838
uc2.ark+=13960=t3513vh35,"Griffith, George", Briton or Boer? A Tale of the Fight for Africa,1897
uc2.ark+=13960=t36110875,"Moore, George,",A mummer's wife,1885
uc2.ark+=13960=t3fx7567r,"Johnson, Samuel,",The prince of Abissinia;,1759
uc2.ark+=13960=t3fx75q1k,"Lee, Charles James", Dorinda's Birthday,1900
uc2.ark+=13960=t3fx76k0q,"Worboise or Guyton, Emma Jane", The Lillingstones of Lillingstone,1864
uc2.ark+=13960=t3jw8bj78,"Tracy, Louis", The Terms of Surrender,1913
uc2.ark+=13960=t3mw29s0z,"Wilde, Oscar,",The importance of being earnest,1895
uc2.ark+=13960=t3rv0mj2n,"Hunt, Isobel Violet", The Workaday Woman,1906
uc2.ark+=13960=t3st7g63m,"Stacpoole, Henry de Vere", Garryowen,1909
uc2.ark+=13960=t3tt4h68m,"Goldsmith, Oliver,",The vicar of Wakefield,1776
uc2.ark+=13960=t4dn42d6s,"Sturgis, Howard", Tim,1892
uc2.ark+=13960=t4gm8fv9d,"Trollope, Anthony,",Framley parsonage,1861
uc2.ark+=13960=t4hm5k49t,"Lawrence, D. H.",The white peacock,1911
uc2.ark+=13960=t4kk96c4s,"Brooke, Emma", Superfluous Woman,1894
uc2.ark+=13960=t4pk09q41,"Worboise or Guyton, Emma Jane", Grey and Gold,1870
uc2.ark+=13960=t4qj79244,"Sewell, Anna,",Black Beauty,1877
uc2.ark+=13960=t4qj7kz3m,Mary Wollstonecraft,Mary & the Wrongs of Woman,1798
uc2.ark+=13960=t4th8dt5p,"Pedler, Margaret", House of Dreams-Come-True,1919
uc2.ark+=13960=t5h99cb1v,"Shelley, Percy Byssche,","Prometheus unbound with Adonais, The cloud, Hymn to intellectual beauty and An exhortation",1820
uc2.ark+=13960=t5q817r7z,"Scott, Walter,",Count Robert of Paris,1819
uc2.ark+=13960=t5t728t8q,"Burney, Fanny,","Camilla: or, A picture of youth",1796
uc2.ark+=13960=t5t728v3r,"Smollett, T.",The adventures of Peregrine Pickle,1751
uc2.ark+=13960=t6057jc5s,Frederick Rolfe,In His Own Image,1894
uc2.ark+=13960=t6c24sq2z,"Austen, Jane,",Sense and sensibility,1811
uc2.ark+=13960=t6c250f7n,"Rover, George (actually Hakewill, Maria C)", Coelebs Suited,1809
uc2.ark+=13960=t6g16058h,"Ainsworth, William Harrison,",Windsor castle,1842
uc2.ark+=13960=t6pz5538g,"Cobbold, Elizabeth", An ode on the victory of Waterloo,1815
uc2.ark+=13960=t6vx08p6p,"Hudson, Stephen", War-time Silhouettes,1916
uc2.ark+=13960=t6ww79f15,"Lamb, Charles,",Tales from Shakespeare,1807
uc2.ark+=13960=t6xw4b18r,"Cannan, Gilbert", Three Sons and a Monther,1916
uc2.ark+=13960=t70v8d88s,G. S. Street, the Autobiography of a Boy,1894
uc2.ark+=13960=t75t3jk6t,"Fothergill, Jessie", Borderland,1890
uc2.ark+=13960=t80k2h33m,"Cholmondeley, Mary", Devotee: An Episode in the Life of a Butterfly,1897
uc2.ark+=13960=t84j0ds6x,"Locke, William J", The Red Planet,1917
uc2.ark+=13960=t87h1gt46,"Morier, James Justinian", The Adventures of Hajji Baba of Ispahan,1824
uc2.ark+=13960=t88g8k59z,"Scott, Walter,",The abbot,1820
uc2.ark+=13960=t8bg2m905,H. Rider Haggard, The Wizard,1896
uc2.ark+=13960=t8bg2x096,"Shiel, M. P.",Shapes in the fire,1896
uc2.ark+=13960=t8cf9tz8n,"Conrad, Joseph", Tales of Unrest (includes Heart of Darkness),1900
uc2.ark+=13960=t8rb6zj66,"Austin, Alfred", Flodden Field: A Tragedy,1903
uc2.ark+=13960=t8rb78c05,"Buchan, John", Prester John,1910
uc2.ark+=13960=t8sb41w5k,"Sterne, Laurence,","The life and opinions of Tristram Shandy, gentleman",1767
uc2.ark+=13960=t9d50qq95,"Borrow, George", Lavengro,1851
uc2.ark+=13960=t9g44km13,"Manning, Anne", The Maiden and Married Life of Mary Powell,1849
uc2.ark+=13960=t9j38tr22,"Hunt, Isobel Violet", White Rose of Weary Leaf,1908
uc2.ark+=13960=t9k35q21j,"Hinton, Charles Howard", Scientific Romances,1886
uc2.ark+=13960=t9r20w429,"Stevenson, Robert Louis,",The strange case of Dr. Jekyll and Mr. Hyde,1886
uc2.ark+=13960=t9s17v252,"Burnett, Frances Hodgson,",Little Lord Fauntleroy,1886
uiug.30112002744511,"Orczy, Emma", A son of the people,1906
uiug.30112045388714,"Jay, Harriett", Through the stage door,1884
uiug.30112045859391,"Goldring, Douglas", The Black Curtain,1920
uiug.30112046416043,"Worboise or Guyton, Emma Jane", Nobly Born,1871
uiug.30112049093989,"Leverson, Ada Esther", Tenterhooks,1912
uiug.30112049745562,"Jones, Hannah Maria", The Victim of Fashion,1825
uiug.30112072859884,Mary Augusta Ward,Marcella,1894
uiuo.ark+=13960=t0000px9h,"FitzClarence, Wilhelmina", Dorinda,1889
uiuo.ark+=13960=t00z7vf65,"BrontÌÎ_‰Û¡ÌÝ_, Charlotte,",The professor,1857
uiuo.ark+=13960=t02z1m80g,"Gaskell, Elizabeth Cleghorn,",North and south,1855
uiuo.ark+=13960=t03x8zk9m,"Hardy, Thomas,",A pair of blue eyes,1873
uiuo.ark+=13960=t04x5sk0c,"Glascock, William Nugent"," Sailors and Saints, or Matrimonial Man?vres",1829
uiuo.ark+=13960=t07w6q90x,"Crommelin, May", Miss Daisy Dimity,1881
uiuo.ark+=13960=t09w0x65t,"Eliot, George,",Middlemarch;,1871
uiuo.ark+=13960=t09w14g77,"Austen, Jane,",Northanger Abbey,1817
uiuo.ark+=13960=t0dv22016,"Laffan, Bertha Jane (also Grundy, Bertha Jane)", The Peyton Romance,1892
uiuo.ark+=13960=t17m0tr07,"Meredith, George,",Beauchamp's career,1875
uiuo.ark+=13960=t1kh16v7z,"Scott, Walter,","Anne of Geierstein, or, The maiden of the mist",1829
uiuo.ark+=13960=t1wd4cf3m,"Le Fanu, Joseph Sheridan,",In a glass darkly,1872
uiuo.ark+=13960=t21c2pn1g,"Collins, Wilkie,",The moonstone,1868
uiuo.ark+=13960=t2988xr4w,"Doyle, Arthur Conan,",The refugees,1893
uiuo.ark+=13960=t2h712x92,"Walford, Lucy Bethia", Stiff Necked Generation,1889
uiuo.ark+=13960=t2j684v7n,"Dickens, Charles,",Great expectations,1861
uiuo.ark+=13960=t2r50bc8t,"BrontÌÎ_‰Û¡ÌÝ_, Charlotte,",Shirley,1849
uiuo.ark+=13960=t2x35gn6v,"Davenport, Selina"," Donald Monteith, the Handsomest Man of the Age: a Novel",1815
uiuo.ark+=13960=t3417g24g,"Fothergill, Jessie", Oriole's Daughter,1893
uiuo.ark+=13960=t3417mv2g,"Scott, Walter",Rob Roy,1817
uiuo.ark+=13960=t3708qw62,"Yonge, Charlotte M.",The heir of Redclyffe,1853
uiuo.ark+=13960=t3805sn7d,"Hardy, Thomas,",The mayor of Casterbridge,1886
uiuo.ark+=13960=t3rv0x09k,"Davenport, Selina"," The Hypocrite: or, The Modern Janus",1814
uiuo.ark+=13960=t3rv14r6v,"Oliphant, Margaret", Squire Arden,1871
uiuo.ark+=13960=t3xs6334q,"Fogerty, Joseph", Lauterdale,1873
uiuo.ark+=13960=t3xs66s3f,"Hood, Tom", Golden Heart,1867
uiuo.ark+=13960=t44q8kt63,"Hardy, Thomas,",Far from the madding crowd,1874
uiuo.ark+=13960=t54f2662s,"Hannay, James", Singleton Fontenoy,1850
uiuo.ark+=13960=t6931f55p,"Pickering, Ellen", The Squire 1,1837
uiuo.ark+=13960=t6b28js3n,"Burney, Fanny"," The Wanderer: Or, Female Difficulties",1814
uiuo.ark+=13960=t6c25j15x,"Shelley, Mary Wollstonecraft,",The last man,1826
uiuo.ark+=13960=t6d226j5p,"Chamier, Frederick", The Spitfire,1840
uiuo.ark+=13960=t6k07g132,"Gibbon, Charles", Robin Grey,1869
uiuo.ark+=13960=t6n01hs64,"Gibbon, Charles", Of High Degree,1883
uiuo.ark+=13960=t79s21p31,"Buxton, Bertha Henry and W.W. Fenn", A noble name,1883
uiuo.ark+=13960=t7hq4b18k,"Gilbert, William", The Inquisitor,1870
uiuo.ark+=13960=t7xk8nz69,"Davenport, Selina", The Sons of the Viscount and the Daughters of the Earl,1813
uiuo.ark+=13960=t8pc3kb71,"Oliphant, Margaret", A Rose in June,1874
uiuo.ark+=13960=t8z89hz13,"Cholmondeley, Mary", Diana Tempest,1893
uiuo.ark+=13960=t9377xs17,"Jay, Harriett", My Connaught cousins,1883
uiuo.ark+=13960=t9z03hc07,"Gaskell, Elizabeth Cleghorn,",Mary Barton,1848
umn.31951002030701d,"Jones, Hannah Maria", Gretna Green,1823
umn.31951002056297o,"Inchbald, Elizabeth","The British Theatre, etc.",1808
umn.31951002060652i,JM Barrie,Peter and Wendy,1904
umn.31951002065829g,"Gilbert, William", Shirley Hall Asylum: Or the Memoirs of a Monomaniac,1863
umn.31951002086612o,"Disraeli, Benjamin,",Vivien Grey,1826
umn.31951002101118q,"Holcroft, Thomas", The Adventures of Hugh Trevor,1801
umn.319510021169139,"Cameron, Mrs. Lovett", Pure Gold,1887
uva.x000025626,"Defoe, Daniel,",Moll Flanders,1722
uva.x000094761,"Dickens, Charles,",Little Dorrit,1855
uva.x000179384,Arthur Conan Doyle,Hound of the Baskervilles,1902
uva.x000336865,Howard Pyle,Merry Adventures of Robin Hood,1883
uva.x000440380,"D?rcy, Ella", Bishop? Dilemma,1989
uva.x000539566,"Chamier, Frederick", Ben Brace,1836
uva.x000890487,"Dickens, Charles,",The mystery of Edwin Drood,1870
uva.x000896627,Anthony Hope,The Prisoner of Zenda,1894
uva.x000896895,"Dickens, Charles,",Dombey and son,1848
uva.x001817412,"Yonge, Charlotte M.",The daisy chain;,1856
uva.x002265274,Rudyard Kipling,The Man Who Would be King,1888
uva.x004604925,"Hogg, James", Winter Evening Tales,1820
uva.x004887684,Sax Rohmer,Mystery of Dr. Fu-Manchu,1913
uva.x030581232,John Galsworthy,Forsyte Saga,1922
uva.x030751450,"Blackwood, Algernon,",A prisoner in fairyland (the book that 'Uncle Paul' wrote),1913
uva.x030808428,"Defoe, Daniel,",Roxana,1724
wu.89001265750,Robert Browning,"Red Cotton Night, Cap County",1873
wu.89002046761,"Trollope, Anthony,",The small house at Allington,1864
wu.89002447233,"Bennett, Arnold,",The card,1910
wu.89005052147,"Horniman, Roy"," Israel Rank, the autobiography of a criminal",1907
wu.89046693198,"BrontÌ_ÌÇÌ__Ì_ÌÇÌ_Ì_, Anne,",Agnes Grey,1847
wu.89089021737,"Borrow, George Henry", The Bible in Spain,1843
wu.89094584851,"Cannan, Gilbert", The Release of the Soul,1920
wu.89094737376,Olaudah Equiano,Interesting Narrative of the Life of Olaudah Equiano,1789
wu.89099763369,"Jay, Harriett", Madge Dunraven,1879
wu.89099777666,"Crommelin, May", Orange Lily,1879
wu.89106279433,"Reach, Angus"," Clement Lorimer, or, The Book with the Iron Clasps",1850
yale.39002013716791,"Cournos, John", London under the Bolsheviks,1919
﻿aeu.ark+=13960=t84j1tc4x,Ford Madox Ford,Ladies Whose Bright Eyes,1911
