htid,author,title,year
inu.30000005351618,"Trollope, Anthony,",The warden,1855
inu.30000007661410,DH Lawrence,Women in Love,1920
inu.30000010353443,"Peacock, Thomas Love,",Headlong Hall,1816
inu.30000011823097,"Dickens, Charles,",A tale of two cities,1859
inu.30000029292749,"Dickens, Charles,",The life and adventures of Martin Chuzzlewit,1844
inu.30000035079544,"Morris, William,",The story of Sigurd the Volsung and the fall of the Niblungs,1876
inu.30000042776348,"Oliphant,",The wizard's son,1884
inu.30000076413941,"Hull, E.M.", The Sheik,1919
inu.30000091678395,Charlotte Turner Smith,Marchmont,1796
inu.30000115350112,"Holcroft, Thomas", Anna St. Ives,1792
inu.30000115425625,"Keir, Susanna (""by a lady"")", Interesting Memoirs,1785
inu.32000000659161,"Shelley, Percy Bysshe,",Alastor,1816
inu.32000001393703,"Gissing, George,",New Grub Street,1891
inu.32000002871509,"Forster, E. M.",The longest journey,1907
inu.32000002993279,Jonathan Swift,Tale of a Tub and Battle of the Books,1704
inu.32000003256429,"Dickens, Charles,",Bleak house,1853
inu.32000004064921,"Eliot, George,",The mill on the Floss,1860
inu.32000005557949,"Childers, Erskine,",The riddle of the sands;,1903
inu.32000006981734,"Helme, Elizabeth,","St. Clair of the isles; or, The outlaws of Barra;",1840
inu.32000009070048,"Machen, Arthur,",The hill of dreams,1907
inu.32000009291495,"Chesterton, G. K.",The Napoleon of Notting Hill,1904
inu.32000009367964,"Trollope, Anthony,",Barchester Towers,1857
inu.32000013013349,"Trollope, Anthony,",The Eustace diamonds,1871
inu.32000013013398,"Trollope, Anthony,",The last chronicle of Barset,1867
inu.32000013013430,"Trollope, Anthony,",The way we live now,1875
inu.32000013179256,"Doyle, Arthur Conan,",The Stark Munro letters,1895
loc.ark+=13960=t2p56vz1x,John Gay,Beggar's Opera,1728
loc.ark+=13960=t2w38dz8v,Thomas Carlyle,Sartor Restartus,1836
loc.ark+=13960=t5bc4f20v,William Blake,Marriage of Heaven and Hell,1790
mdp.39015000541691,"Pater, Walter,",Marius the Epicurean,1885
mdp.39015000590714,"Jerome, Jerome K.",Three men in a boat,1889
mdp.39015000610322,"Woolf, Virginia,",The voyage out,1915
mdp.39015000610488,"Woolf, Virginia,",Night and day,1919
mdp.39015000622392,Rudyard Kipling,The Light that Failed,1890
mdp.39015001796500,"Austen, Jane,",Emma,1815
mdp.39015002713892,"Radcliffe, Ann Ward,",The mysteries of Udolpho ;,1794
mdp.39015002753518,"Sabatini, Rafael", The Sea-Hawk,1915
mdp.39015003675041,"Forster, E. M.",Where angels fear to tread,1905
mdp.39015003675132,EM Forster,Room with a View,1908
mdp.39015004043710,"Sheridan, Richard Brinsley,",The rivals,1775
mdp.39015004200997,"Shelley, Mary Wollstonecraft,",Frankenstein,1818
mdp.39015004288505,"Du Maurier, George,",Trilby,1895
mdp.39015004302132,"Trollope, Anthony,",Phineas redux,1874
mdp.39015005111680,EM Forster,Howards End,1910
mdp.39015005657088,Nicholas Rowe,Fair Penitent,1703
mdp.39015005680767,"Scott, Walter,",Waverley novels,1814
mdp.39015007028700,"Austen, Jane,",Persuasion,1816
