Filename,HTID,Author,Title,Year,Region,Rights,OCLC
hvd_hwxhsz.json,hvd.hwxhsz,Baum L. Frank,The Sea Fairies,1911,northeast,1,9713223
hvd_hwxnr9.json,hvd.hwxnr9,Howe E. W.,The Story Of A Country Town,1883,midwest,1,1657094
hvd_hwxpqw.json,hvd.hwxpqw,Twain Mark,A Tramp Abroad,1880,midwest,9,4572460
hvd_hx2fzz.json,hvd.hx2fzz,Churchill Winston,The Inside Of The Cup,1913,newengland,1,1700553
hvd_hx4xlv.json,hvd.hx4xlv,Winthrop Theodore,The Canoe And The Saddle,1862,newengland,1,235957670
hvd_hxdgyi.json,hvd.hxdgyi,Van Dyne Edith,Aunt Jane'S Nieces On The Ranch,1913,northeast,1,2.23E+14
hvd_hxdikq.json,hvd.hxdikq,Bacheller Irving,Eben Holden A Tale Of The North Country,1900,northeast,1,1636423
hvd_hxdlmk.json,hvd.hxdlmk,Curwood James Oliver,The Grizzly King; A Romance Of The Wild,1916,midwest,1,3867288
hvd_hxqc5z.json,hvd.hxqc5z,Kennedy John Pendleton,Swallow Barn; Or A Sojourn In The Old Dominion. With Twenty Illus,1852,south,1,849073
hvd_rsl1cm.json,hvd.rsl1cm,Hay John,The Bread-Winners: A Social Study,1883,midwest,1,1042043
hvd_rsl27c.json,hvd.rsl27c,Southworth Emma Dorothy Eliza Nevitte,Ishmael: Or In The Depths,1884,south,1,3812896
hvd_rslgf1.json,hvd.rslgf1,Longfellow Henry Wadsworth,Kavanagh A Tale,1849,newengland,1,424174
iau_31858021656008.json,iau.31858021656008,Jewett Sarah Orne,A White Heron And Other Stories,1887,newengland,1,10537873
inu_30000007073442.json,inu.30000007073442,London Jack,Martin Eden,1909,west,1,29659806
inu_30000111848119.json,inu.30000111848119,Brown Charles Brockden,Wieland; Or The Transformation,1827,northeast,1,5396569
inu_30000114424744.json,inu.30000114424744,Mccutcheon George Barr,Brewster'S Millions,1902,midwest,1,288834
inu_32000004061893.json,inu.32000004061893,Williams William Carlos,The Great American Novel,1923,northeast,9,798911
inu_32000011573245.json,inu.32000011573245,Stratton-Porter Gene,Freckles,1904,midwest,1,10743748
loc_ark+=13960=t01z50j6q.json,loc.ark:/13960/t01z50j6q,Riley James Whitcomb,Little Orphan Annie,1908,midwest,1,5222739
loc_ark+=13960=t0gt63t4m.json,loc.ark:/13960/t0gt63t4m,Jefferson Joseph,Rip Van Winkle As Played,1895,northeast,1,
loc_ark+=13960=t2c82vm53.json,loc.ark:/13960/t2c82vm53,Garland Hamlin,Crumbling Idols;,1894,midwest,1,
loc_ark+=13960=t2p56542c.json,loc.ark:/13960/t2p56542c,Whitman Walt,Leaves Of Grass,1897,northeast,1,
loc_ark+=13960=t50g48j5d.json,loc.ark:/13960/t50g48j5d,Cooper James Fenimore,The Headsman:,1836,northeast,1,
loc_ark+=13960=t7hq4sr3z.json,loc.ark:/13960/t7hq4sr3z,Riley James Whitcomb,The Raggedy Man,1907,midwest,9,3944463
loc_ark+=13960=t8tb1zp0t.json,loc.ark:/13960/t8tb1zp0t,Bangs John Kendrick,Alice In Blunderland An Iridescent Dream,1907,northeast,1,3057636
loc_ark+=13960=t9280gf1r.json,loc.ark:/13960/t9280gf1r,Thaxter Celia,Among The Isles Of Shoals,1873,newengland,1,
loc_ark+=13960=t9572012d.json,loc.ark:/13960/t9572012d,Waterloo Stanley,The Story Of Ab; A Tale Of The Time Of The Cave Man,1897,midwest,1,2127260
loc_ark+=13960=t9v12mp30.json,loc.ark:/13960/t9v12mp30,Thoreau Henry David,Walden,1882,newengland,1,
mdp_39015000252448.json,mdp.39015000252448,Toomer Jean,Cane. With A Foreword,1923,south,1,168697
mdp_39015000605298.json,mdp.39015000605298,Rand Ayn,Anthem,1953,northeast,1,288344
mdp_39015000621972.json,mdp.39015000621972,Griffith Mary,Three Hundred Years Hence; With Introd. And Notes,1950,northeast,1,3253783
mdp_39015000640303.json,mdp.39015000640303,Garland Hamlin,Jason Edwards An Average Man,1892,midwest,1,1653743
