filename,publication date
kierkegaard02val.xml,1843
kierkegaard03val.xml,1834
kingo01val.xml,1700
kingo02val.xml,1700
kingo03val.xml,1700
kingo04val.xml,1700
kingo09val.xml,1700
knudsenj01val.xml,1902
knudsenj02val.xml,1903
knudsenj09val.xml,1914
Lars.xml,1893
larsenk_02.xml,1889
larsenk_03.xml,1893
larsenk_04.xml,1896
larsenk_05.xml,1900
larsenk_06.xml,1901
larsenk_07.xml,1902
larsenk_08.xml,1911
larsenk_09.xml,1908
larsenk_10.xml,1922
larsenk_11.xml,1897
larsenk_12.xml,1912
larsenk_13.xml,1912
larsenk_14.xml,1912
larsenk_15.xml,1912
larsenk_16.xml,1918
larsenk_17.xml,1916
larsenk_18.xml,1919
larsenk_19.xml,1915
larsenk_20.xml,1915
larsenthfiredigt.xml,1901
leonora01.xml,1698
lyschander.xml,1623
mdp_39015008812870.xml,1892
mdp_39015024515184.xml,1892
mdp_39015024515523.xml,1911
mdp_39015024515648.xml,1903
mdp_39015033098172.xml,1919
mdp_39015033098412.xml,1912
mdp_39015063603057.xml,1921
mdp_39015063604790.xml,1901
michs_01.xml,1885
michs_02.xml,1892
michs_03.xml,1886
michs_04.xml,1895
michs_05.xml,1900
michs_06.xml,1901
michs_07.xml,1906
michs_08.xml,1912
michs_09.xml,1914
michs_10.xml,1921
michs_11.xml,1915
moeller01val.xml,1930
moeller02val.xml,1822
munp1.xml,1931
munp2.xml,1931
munp3.xml,1931
nansen03ny.xml,1908
njp_32101064725524.xml,1900
nyp_33433067385934.xml,1837
nyp_33433075776751.xml,1908
nyp_33433075779607.xml,1836
nyp_33433075779631.xml,1902
nyp_33433075783310.xml,1885
nyp_33433075783328.xml,1915
nyp_33433075866784.xml,1845
nyp_33433075866826.xml,1856
nyp_33433075867964.xml,1904
oehl01val.xml,1803
oehl02val.xml,1805
oehl03val.xml,1807
oehl04val.xml,1810
oehl05val.xml,1814
oehl06.xml,1814
oehl07val.xml,1819
palladius01val.xml,1537
palladius02val.xml,1537
palladius03val.xml,1537
palladius04val.xml,1537
palladius05val.xml,1537
paludanm01.xml,1831
paludanm02.xml,1839
paludanm03.xml,1852
paludanm04.xml,1833
plough01.xml,1838
richardt01.xml,1848
richardt02.xml,1879
richardt03.xml,1879
rode_01.xml,1892
rode_02.xml,1896
rode_03.xml,1901
rode_04.xml,1914
rode_05.xml,1917
rode_06.xml,1917
rode_07.xml,1920
rode_08.xml,1922
rode_09.xml,1923
rode_11.xml,1924
rode_12.xml,1928
rode_13.xml,1931
saxoval.xml,2000
schackval.xml,1858
schandorph01val.xml,1901
schandorph02val.xml,1885
schandorph03ret1.xml,1878
schandorph04.xml,1881
schandorph05.xml,1883
schandorph06.xml,1885
schandorph07.xml,1890
schandorph08.xml,1894
sibbern01val.xml,1825
sibbern02val.xml,1825
skjold_01.xml,1896
skjold_02.xml,1902
skjold_03.xml,1915
skjold_04.xml,1917
skjold_05.xml,1920
skjold_06.xml,1921
skjold_07.xml,1921
skjold_08.xml,1925
skrame01.xml,1865
staffeldt01val.xml,1792
steffens01val.xml,1803
sthen01val.xml,1581
stub01val.xml,1728
stub02val.xml,1756
stuckenberg01.xml,1884
stuckenberg02.xml,1884
stuckenberg03.xml,1910
topsoe01.xml,1878
topsoe02.xml,1875
tycho-01-tilurania.xml,1573
tycho-02-uraniahaec.xml,2000
tycho-03-urindskrift.xml,1583
tycho-04-uraniatitani.xml,1594
tycho-05-epigrammersofiebrahe-eriklange.xml,1600
tycho-06-siquidagat.xml,1600
tycho-07-brevdigteriklange.xml,1584
tycho-08-tvillingebror.xml,1572
uc1_$b137536.xml,1922
uc1_$b139890.xml,1919
uc1_$b139915.xml,1920
uc1_$b139991.xml,1920
uc1_$b140001.xml,1918
uc1_$b140002.xml,1920
uc1_$b226790.xml,1914
uc1_$b482287.xml,1915
uc1_$b482288.xml,1915
uc1_$b482289.xml,1915
uc1_$b482290.xml,1915
uc1_$b482291.xml,1915
uc1_$b482292.xml,1915
uc1_$b482293.xml,1915
uc1_$b482382.xml,1906
uc1_$b482383.xml,1906
uc1_$b482384.xml,1907
uc1_$b482385.xml,1907
uc1_$b482386.xml,1909
uc1_$b482387.xml,1909
uc1_$b482388.xml,1910
uc1_$b482389.xml,1910
uc1_$b482396.xml,1913
uc1_$b485497.xml,1922
uc1_$b489430.xml,1833
uc1_$b489431.xml,1833
uc1_$b489451.xml,1845
uc1_$b489452.xml,1845
uc1_$b489455.xml,1850
uc1_$b489471.xml,1828
uc1_$b500902.xml,1896
uc1_$b500903.xml,1913
uc1_a0000391003.xml,1917
uc1_a0000468793.xml,1888
uc1_a0000489831.xml,1899
uc1_a0000546564.xml,1898
uc1_a0000687350.xml,1893
uc1_a0000727065.xml,1847
uc1_a0000727081.xml,1853
uc1_a0000727099.xml,1845
uc1_a0001181668.xml,1887
uc1_b3604385.xml,1916
uc1_b3604386.xml,1907
uc1_b4156866.xml,1908
uc1_b4605314.xml,1917
uc1_b4676898.xml,1919
uc1_b4676899.xml,1919
uc1_b4676902.xml,1900
uc1_b4676939.xml,1898
umn_319510010460306.xml,1817
umn_319510010476272.xml,1919
umn_319510010476280.xml,1919
umn_319510010503366.xml,1918
umn_31951001053414x.xml,1898
umn_31951001066784f.xml,1900
umn_31951001076551w.xml,1904
umn_319510011078378.xml,1883
umn_31951001115214c.xml,1919
umn_319510011389937.xml,1915
umn_31951001185699s.xml,1881
umn_31951001198392x.xml,1846
umn_31951001203488k.xml,1915
umn_31951001203752t.xml,1919
umn_31951001209590z.xml,1901
umn_31951001253787g.xml,1899
umn_31951001307007z.xml,1915
umn_319510013114360.xml,1916
umn_319510016942405.xml,1919
umn_31951001932479v.xml,1905
uva_x002264213.xml,1857
uva_x030801845.xml,1820
uva_x030801847.xml,1813
uva_x030801848.xml,1816
uva_x030801851.xml,1839
wessel-anno7603.xml,1785
wessel-lykken.xml,1776
wesselhhl.xml,1780
wied01val.xml,1889
wied02val.xml,1891
wied05val.xml,1901
wied06val.xml,1898
wied07val.xml,1914
wied08val.xml,1902
wied09val.xml,1893
wied10val.xml,1911
wied11val.xml,1904
wied12val.xml,1904
wintherchr01val.xml,1828
wintherchr02val.xml,1830
wintherchr03val.xml,1832
worm01val.xml,1700
wu_89008547036.xml,1862
wu_89008547051.xml,1860
wu_89008624116.xml,1907
wu_89008624173.xml,1898
wu_89008624181.xml,1909
wu_89008624207.xml,1912
wu_89008624231.xml,1913
wu_89008624876.xml,1909
wu_89008625014.xml,1906
wu_89008625022.xml,1906
wu_89008821845.xml,1918
wu_89008821878.xml,1921
wu_89008821886.xml,1920
